category,vehicle_no,vehicle_type,vehicle_make,vehicle_model
Container,6789HR38S,10 TYRES,,
Container,HR55Y7720,12 TYRES,,
Container,HR55W5083,10 TYRES,,
Container,HR38W3496,12 TYRES,,
Container,HR38X7928,12 TYRES,,
Container,HR38T3462,10 TYRES,,
Container,HR55X2651,12 TYRES,,
Container,HR55AA9051,12 TYRES,,
Container,HR38S6788,10 TYRES,,
Container,HR47D5007,14 TYRES,,
Container,HR38X0749,12 TYRES,,
Container,HR67B2722,12 TYRES,,
Container,HR38T8851,10 TYRES,,
Container,HR55Y6725,12 TYRES,,
Container,HR38W9349,12 TYRES,,
Container,HR38X7576,12 TYRES,,
Container,HR38W2397,12 TYRES,,
Container,HR55X0480,12 TYRES,,
Container,HR55Y5727,12 TYRES,,
Container,HR47D2155,14 TYRES,,
Container,HR55AA9811,12 TYRES,,
Container,HR55AA0616,12 TYRES,,
Container,HR55AA7740,12 TYRES,,
Container,1730HR55AA,12 TYRES,,
Container,2934HR67B,12 TYRES,,
Container,HR55X2405,12 TYRES,,
Container,HR38X9491,12 TYRES,,
Container,HR38S7990,10 TYRES,,
Container,HR55Y7535,12 TYRES,,
Container,1590HR38T,12 TYRES,,
Container,HR38Y3133,,,
Container,HR38T1589,12 TYRES,,
Container,6784HR38S,10 TYRES,,
Container,HR55W5961,12 TYRES,,
Container,HR38T2988,10 TYRES,,
Container,HR38X8011,12 TYRES,,
Container,HR55AA0314,12 TYRES,,
Container,HR55AA1050,12 TYRES,,
Container,HR55Y7532,12 TYRES,,
Container,HR55AA3521,12 TYRES,,
Container,6283HR55AA,12 TYRES,,
Container,HR38T2998,10 TYRES,,
Container,HR38X4929,12 TYRES,,
Container,HR38T1588,12 TYRES,,
Container,9868HR38T,10 TYRES,,
Container,HR67B0544,12 TYRES,,
Container,HR55AA5495,12 TYRES,,
Container,HR55X7513,12 TYRES,,
Container,HR67B2913,12 TYRES,,
Container,HR55AA8109,12 TYRES,,
Container,HR55W3924,12 TYRES,,
Container,HR38W1829,12 TYRES,,
Container,HR38T6263,10 TYRES,,
Container,9991HR67B,12 TYRES,,
Container,9583HR38S,10 TYRES,,
Container,HR67B7014,10 TYRES,,
Container,7680HR67B,10 TYRES,,
Container,1614HR55L,10 TYRES,,
Container,HR38T1586,12 TYRES,,
Container,HR55W2308,12 TYRES,,
Container,HR38W8928,14 TYRES,,
Container,7989HR38S,10 TYRES,,
Container,HR55AA1311,12 TYRES,,
Container,9023HR38S,10 TYRES,,
Container,HR38X9698,12 TYRES,,
